Price min value,Price for each machine,Time
882,"[210, 210, 210, 126, 126]",1.0495617389678955
882,"[210, 210, 210, 126, 126]",1.0459110736846924
882,"[210, 210, 210, 126, 126]",1.0491857528686523
882,"[210, 210, 210, 126, 126]",1.0478465557098389
882,"[210, 210, 210, 126, 126]",1.0472664833068848
